Ticker,Sector,Date,Open,High,Low,Close,Adj_Close,Volume
AAPL,Technology,2024-01-01,170.0,171.46,169.24,171.37,171.37,8765365
AAPL,Technology,2024-01-02,171.37,172.88,171.05,172.19,172.19,9302144
AAPL,Technology,2024-01-03,172.19,172.51,169.31,171.1,171.1,10280887
AAPL,Technology,2024-01-04,171.1,174.35,170.47,173.29,173.29,4610471
AAPL,Technology,2024-01-05,173.29,177.37,171.52,177.21,177.21,8946159
AAPL,Technology,2024-01-08,177.21,178.0,176.78,177.64,177.64,7299935
AAPL,Technology,2024-01-09,177.64,178.95,175.77,176.14,176.14,7986733
AAPL,Technology,2024-01-10,176.14,176.42,175.49,175.64,175.64,3296791
AAPL,Technology,2024-01-11,175.64,175.78,172.1,172.25,172.25,10116226
AAPL,Technology,2024-01-12,172.25,173.34,169.43,169.74,169.74,10537093
AAPL,Technology,2024-01-15,169.74,171.92,169.35,170.72,170.72,10130596
AAPL,Technology,2024-01-16,170.72,173.64,170.15,173.11,173.11,7257890
AAPL,Technology,2024-01-17,173.11,174.76,172.99,174.08,174.08,7015080
AAPL,Technology,2024-01-18,174.08,177.9,174.03,177.26,177.26,10408478
AAPL,Technology,2024-01-19,177.26,178.79,176.2,178.33,178.33,8811635
AAPL,Technology,2024-01-22,178.33,188.15,178.27,187.46,187.46,19143284
AAPL,Technology,2024-01-23,187.46,190.12,186.35,190.11,190.11,6756151
AAPL,Technology,2024-01-24,190.11,190.49,187.54,187.92,187.92,10779647
AAPL,Technology,2024-01-25,187.92,188.99,187.85,188.76,188.76,10324747
AAPL,Technology,2024-01-26,188.76,189.0,185.93,186.88,186.88,7299313
AAPL,Technology,2024-01-29,186.88,187.14,179.3,179.55,179.55,6074534
AAPL,Technology,2024-01-30,179.55,179.84,178.55,179.22,179.22,11369500
AAPL,Technology,2024-01-31,179.22,180.48,179.18,179.28,179.28,13911781
AAPL,Technology,2024-02-01,179.28,179.5,178.63,178.87,178.87,7982287
AAPL,Technology,2024-02-02,178.87,181.87,178.31,181.04,181.04,5817470
AAPL,Technology,2024-02-05,181.04,185.99,180.4,184.96,184.96,8184547
AAPL,Technology,2024-02-06,184.96,185.64,183.62,183.7,183.7,6791658
AAPL,Technology,2024-02-07,183.7,183.75,179.15,179.54,179.54,5804741
AAPL,Technology,2024-02-08,179.54,181.43,178.97,181.31,181.31,7227052
AAPL,Technology,2024-02-09,181.31,184.54,180.33,183.64,183.64,14093990
AAPL,Technology,2024-02-12,183.64,183.79,182.66,182.85,182.85,9876374
AAPL,Technology,2024-02-13,182.85,183.82,179.13,179.57,179.57,10920969
AAPL,Technology,2024-02-14,179.57,196.68,179.47,196.02,196.02,9724809
AAPL,Technology,2024-02-15,196.02,196.42,194.96,196.12,196.12,6237085
AAPL,Technology,2024-02-16,196.12,196.99,191.66,193.41,193.41,8352739
AAPL,Technology,2024-02-19,193.41,196.27,192.71,195.1,195.1,7928659
AAPL,Technology,2024-02-20,195.1,195.76,188.9,189.55,189.55,8946415
AAPL,Technology,2024-02-21,189.55,190.84,189.54,189.65,189.65,8457436
AAPL,Technology,2024-02-22,189.65,191.75,189.55,191.49,191.49,8819817
AAPL,Technology,2024-02-23,191.49,198.91,191.32,197.69,197.69,6859382
AAPL,Technology,2024-02-26,197.69,198.33,194.95,196.0,196.0,4107932
AAPL,Technology,2024-02-27,196.0,197.09,191.95,192.74,192.74,5160704
AAPL,Technology,2024-02-28,192.74,195.54,191.55,194.16,194.16,6774816
AAPL,Technology,2024-02-29,194.16,208.21,193.13,208.05,208.05,37250795
AAPL,Technology,2024-03-01,208.05,208.68,207.05,207.19,207.19,5945770
AAPL,Technology,2024-03-04,207.19,207.63,206.62,207.19,207.19,4129481
AAPL,Technology,2024-03-05,207.19,208.09,204.56,205.85,205.85,8308522
AAPL,Technology,2024-03-06,205.85,208.72,205.81,207.67,207.67,6436159
AAPL,Technology,2024-03-07,207.67,215.02,207.66,214.47,214.47,9060977
AAPL,Technology,2024-03-08,214.47,218.52,213.79,217.97,217.97,7724632
AAPL,Technology,2024-03-11,217.97,220.52,217.68,219.75,219.75,7237167
AAPL,Technology,2024-03-12,219.75,222.36,218.65,220.93,220.93,10202868
AAPL,Technology,2024-03-13,220.93,229.04,220.29,228.1,228.1,4928192
AAPL,Technology,2024-03-14,228.1,229.81,224.48,227.42,227.42,5541469
AAPL,Technology,2024-03-15,227.42,228.56,225.3,226.7,226.7,11175833
AAPL,Technology,2024-03-18,226.7,227.12,225.34,226.4,226.4,8024559
AAPL,Technology,2024-03-19,226.4,226.82,223.02,223.2,223.2,8146151
AAPL,Technology,2024-03-20,223.2,225.62,221.78,225.5,225.5,5029242
AAPL,Technology,2024-03-21,225.5,234.67,225.11,232.85,232.85,7739605
AAPL,Technology,2024-03-22,232.85,233.04,230.75,231.29,231.29,10039045
AAPL,Technology,2024-03-25,231.29,233.31,230.96,232.67,232.67,9395153
AAPL,Technology,2024-03-26,232.67,233.49,229.92,230.61,230.61,9464888
AAPL,Technology,2024-03-27,230.61,230.79,229.99,230.68,230.68,10788649
AAPL,Technology,2024-03-28,230.68,236.6,229.47,236.19,236.19,8050409
AAPL,Technology,2024-03-29,236.19,239.04,235.93,238.75,238.75,6528572
AAPL,Technology,2024-04-01,238.75,246.79,237.79,245.74,245.74,5085947
AAPL,Technology,2024-04-02,245.74,250.95,245.05,250.16,250.16,7978839
AAPL,Technology,2024-04-03,250.16,251.93,241.66,242.46,242.46,7228673
AAPL,Technology,2024-04-04,242.46,244.66,242.04,244.11,244.11,8489174
AAPL,Technology,2024-04-05,244.11,247.16,242.7,246.3,246.3,4622086
AAPL,Technology,2024-04-08,246.3,246.51,241.81,243.8,243.8,11768077
AAPL,Technology,2024-04-09,243.8,243.8,242.52,242.84,242.84,6014645
AAPL,Technology,2024-04-10,242.84,246.38,241.43,244.88,244.88,5974071
AAPL,Technology,2024-04-11,244.88,245.32,243.54,243.76,243.76,8030221
AAPL,Technology,2024-04-12,243.76,245.02,241.54,244.26,244.26,8974944
AAPL,Technology,2024-04-15,244.26,246.08,241.98,242.83,242.83,8440020
AAPL,Technology,2024-04-16,242.83,251.76,242.68,250.95,250.95,4747860
AAPL,Technology,2024-04-17,250.95,256.83,250.61,254.99,254.99,12502810
AAPL,Technology,2024-04-18,254.99,259.37,254.23,258.78,258.78,11543980
AAPL,Technology,2024-04-19,258.78,261.79,257.56,261.65,261.65,6873978
AAPL,Technology,2024-04-22,261.65,263.07,254.8,255.08,255.08,8668935
AAPL,Technology,2024-04-23,255.08,256.0,245.85,245.85,245.85,8112753
AAPL,Technology,2024-04-24,245.85,246.47,243.0,244.34,244.34,9285180
AAPL,Technology,2024-04-25,244.34,249.91,244.02,248.37,248.37,6203632
AAPL,Technology,2024-04-26,248.37,254.42,248.21,254.3,254.3,10767788
AAPL,Technology,2024-04-29,254.3,258.54,253.65,258.37,258.37,11284715
AAPL,Technology,2024-04-30,258.37,259.08,253.02,254.79,254.79,11466413
AAPL,Technology,2024-05-01,254.79,258.47,253.26,258.33,258.33,8177827
AAPL,Technology,2024-05-02,258.33,266.25,258.31,264.79,264.79,9911373
